# LkebCurve Data File version 2.0
ASCII
Curve Type: double
Dimension: 3
Number of points: 300
Closed: 0
ND: 0
Name: class LkebCurve<class LkebPoint<double,class LkebTuple3> >
Attributes: 0
Space:
1.0000000000000000e+000 0.0000000000000000e+000 0.0000000000000000e+000 0.0000000000000000e+000 0.0000000000000000e+000 1.0000000000000000e+000 0.0000000000000000e+000 0.0000000000000000e+000 0.0000000000000000e+000 0.0000000000000000e+000 1.0000000000000000e+000 0.0000000000000000e+000
Data:
86.495582580566406 -205.01507568359375 412.6566162109375
86.084432834042843 -205.08774216747076 412.32469771059334
85.654186703209817 -205.24463406248114 412.04622478461647
85.216905031548947 -205.39679632104259 411.77527641492696
84.749889274674132 -205.5668429766977 411.57340681528979
84.250184414231015 -205.61198051637308 411.39426982759517
83.788358501768741 -205.50590156342156 411.14287697799381
83.408390165046669 -205.37332004847764 410.78849492069702
82.964768147701974 -205.2611145605452 410.51483701456186
82.481852210094644 -205.09693408361255 410.36337409375295
82.18432377406252 -204.65555745376929 410.44512666308407
81.87873049524913 -204.21579429585628 410.50875139409442
81.557865768017166 -203.79875349352841 410.47785533765705
81.113464878067987 -203.56888917608109 410.32821544365083
80.587030063497934 -203.50977957746909 410.33045495420117
80.100567752902748 -203.69556216875017 410.42287575280659
79.645217910552816 -203.95895427598103 410.32470607703141
79.275210792124398 -204.27285387674749 410.10993046390536
79.029558695824051 -204.72893133505451 410.03564665971555
78.818019162261322 -205.22031108956008 410.06467748890913
78.56346597443364 -205.69477658263838 410.0740118890626
78.300165969890912 -206.16606129127041 410.09734375430003
78.028142150615864 -206.6299934510306 410.08768474789929
77.743143775139998 -207.08378884999314 410.02289298800918
77.361695737214504 -207.46167072543412 410.04393563208521
76.973627070463024 -207.81914457651246 410.14600658326259
76.584110199196118 -208.17456034985162 410.22064094103962
76.20578849453716 -208.52113178158487 410.37700238409565
75.77758006229972 -208.78877345167888 410.55925850165454
75.324924161349372 -209.01491021468343 410.73944940867057
74.844316535827673 -209.14094940582052 410.93727630384552
74.385831774033207 -209.32927257342817 411.14920560990578
73.973783855124736 -209.56443769206598 411.40016429037416
73.566347538841043 -209.77666637715993 411.68211783552681
73.215285447371869 -209.9746404248254 412.03718591747054
72.886539640176252 -210.07070876508624 412.45185017834569
72.468114780893501 -210.17473315878806 412.77125177965161
72.011769972674912 -210.29830218726866 413.01657265741073
71.582057277874355 -210.56645208090669 413.18825157503488
71.153472747611247 -210.83773652818417 413.36504995286464
70.701921539392856 -211.040641669194 413.56270910292994
70.242003729413696 -211.18700257371839 413.80186310309233
69.770026711370775 -211.36347588561762 413.98230877430512
69.382591283404309 -211.59768527201089 414.26209255389216
